order_id,order_date,customer_id,basket_items,basket_categories,association_groups,total_distinct_products,total_units,net_amount_jd,season_event
O202600001,2026-01-01,C0114,Mandi Basmati Rice 4 kg,rice,Rice,1,3,14.91,Winter 2026
O202600002,2026-01-01,C0056,"Mandi Basmati Rice 4 kg | Mazola Sunflower Oil, 1.5L | Maxim's Sliced Tuna With Garlic And Black Pepper 120 g | Al Youm Labneh, 200g | Nadec Banana Flavor Milk, 6x125ml",rice | oil | Canned Seafood | labneh | Long Life Milk,Rice | Oil | Spices & Seasonings | Eggs | Dairy,5,7,15.75,Winter 2026
O202600003,2026-01-01,C0076,Barilla Rigatoni 500 g,pasta,Pasta,1,1,1.68,Winter 2026
O202600004,2026-01-02,C0024,Spice Classics Basil Leaves 6.25 g,Cooking & Baking,Spices & Seasonings,1,1,1.93,Winter 2026
O202600005,2026-01-02,C0022,"Kasih Vegetable Oil Cooking Spray, 141g | Tiger Rice 3.5 kg | Aroma Garden Magloubeh Spices, 100g",oil | rice | Cooking & Baking,Oil | Rice | Spices & Seasonings,3,3,7.99,Winter 2026
O202600006,2026-01-02,C0070,"Abu Kass Basmati Rice, 4kg | Al-Ghazal Pasta Bucatini 1, 300g | Mazola Sunflower Oil, 1.5L | Blue Mill Paprika 200 g | Pascual Vive Soy High Calcium Oat Drink, 1L | Luna Red Kidney Beans, 380g",rice | pasta | oil | Cooking & Baking | Milk Alternatives | Canned Vegetables,Rice | Pasta | Oil | Spices & Seasonings | Eggs | Canned Food,6,7,20.35,Winter 2026
O202600007,2026-01-03,C0019,"Hammoudeh Fresh Yoghurt, 700g",youghurt,Dairy,1,1,0.97,Winter 2026
O202600008,2026-01-03,C0038,"American Garden Red Kidney Beans (Easy Open Lids), 400g | Pasta Zara Conchiglie No.54, 500g",Canned Vegetables | pasta,Canned Vegetables | Pasta,2,2,2.1,Winter 2026
O202600009,2026-01-03,C0101,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,1,5.49,Winter 2026
O202600010,2026-01-03,C0118,"Maxim's Smoked Tuna Oil 185 g | Abu Kass Basmati Rice, 4kg | Mr.Chips Paprika Potato Chips, 68g",Canned Seafood | rice | Chips,Oil | Rice | Spices & Seasonings,3,4,9.69,Winter 2026
