order_item_id,order_id,order_date,customer_id,product_id,product_name,category,association_group,quantity,unit_price_jd,line_total_jd,season_event
I2026000001,O202600001,2026-01-01,C0114,101,Mandi Basmati Rice 4 kg,rice,Rice,3,4.97,14.91,Winter 2026
I2026000002,O202600002,2026-01-01,C0056,101,Mandi Basmati Rice 4 kg,rice,Rice,1,4.97,4.97,Winter 2026
I2026000003,O202600002,2026-01-01,C0056,109,"Mazola Sunflower Oil, 1.5L",oil,Oil,1,3.39,3.39,Winter 2026
I2026000004,O202600002,2026-01-01,C0056,166,Maxim's Sliced Tuna With Garlic And Black Pepper 120 g,Canned Seafood,Spices & Seasonings,1,2.29,2.29,Winter 2026
I2026000005,O202600002,2026-01-01,C0056,45,"Al Youm Labneh, 200g",labneh,Eggs,3,1.25,3.75,Winter 2026
I2026000006,O202600002,2026-01-01,C0056,76,"Nadec Banana Flavor Milk, 6x125ml",Long Life Milk,Dairy,1,1.35,1.35,Winter 2026
I2026000007,O202600003,2026-01-01,C0076,106,Barilla Rigatoni 500 g,pasta,Pasta,1,1.68,1.68,Winter 2026
I2026000008,O202600004,2026-01-02,C0024,133,Spice Classics Basil Leaves 6.25 g,Cooking & Baking,Spices & Seasonings,1,1.99,1.99,Winter 2026
I2026000009,O202600005,2026-01-02,C0022,112,"Kasih Vegetable Oil Cooking Spray, 141g",oil,Oil,1,2.25,2.25,Winter 2026
I2026000010,O202600005,2026-01-02,C0022,100,Tiger Rice 3.5 kg,rice,Rice,1,3.65,3.65,Winter 2026
I2026000011,O202600005,2026-01-02,C0022,144,"Aroma Garden Magloubeh Spices, 100g",Cooking & Baking,Spices & Seasonings,1,2.09,2.09,Winter 2026
I2026000012,O202600006,2026-01-02,C0070,103,"Abu Kass Basmati Rice, 4kg",rice,Rice,1,5.49,5.49,Winter 2026
I2026000013,O202600006,2026-01-02,C0070,105,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,Pasta,1,0.49,0.49,Winter 2026
I2026000014,O202600006,2026-01-02,C0070,109,"Mazola Sunflower Oil, 1.5L",oil,Oil,1,3.39,3.39,Winter 2026
I2026000015,O202600006,2026-01-02,C0070,129,Blue Mill Paprika 200 g,Cooking & Baking,Spices & Seasonings,1,3.85,3.85,Winter 2026
I2026000016,O202600006,2026-01-02,C0070,87,"Pascual Vive Soy High Calcium Oat Drink, 1L",Milk Alternatives,Eggs,2,3.5,7,Winter 2026
I2026000017,O202600006,2026-01-02,C0070,178,"Luna Red Kidney Beans, 380g",Canned Vegetables,Canned Food,1,0.76,0.76,Winter 2026
