product_id,category,product_name,price_jd,health_tags,supplier_id,source_sheet
1,frozen food,Frozen pizza,2.49,"gluten,high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
2,frozen food,Frozen pizza,3.59,"gluten,high_sodium,dairy,not_vegan",Frozen Food Hub,Frozen foods
3,frozen food,Frozen pizza,3.59,"gluten,high_sodium,dairy,not_vegan",Frozen Food Hub,Frozen foods
4,frozen food,Frozen fries,1.9,vegan,Frozen Food Hub,Frozen foods
5,frozen food,Frozen fries,2.5,vegan,Frozen Food Hub,Frozen foods
6,frozen food,Frozen fries,3,vegan,Frozen Food Hub,Frozen foods
7,frozen food,Frozen fries,1.85,vegan,Frozen Food Hub,Frozen foods
8,frozen food,Poultry,4.05,"high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
9,frozen food,Poultry,7.39,"high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
10,frozen food,Poultry,4.55,"high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
11,frozen food,Poultry,4,"meat,not_vegan",Frozen Food Hub,Frozen foods
12,frozen food,Poultry,3.9,"meat,not_vegan",Frozen Food Hub,Frozen foods
13,frozen food,Poultry,4.29,vegan,Frozen Food Hub,Frozen foods
14,frozen food,Poultry,3.39,"high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
15,frozen food,seafood,4.09,"fish,not_vegan",Frozen Food Hub,Frozen foods
16,frozen food,seafood,21.09,"fish,not_vegan",Frozen Food Hub,Frozen foods
17,frozen food,meat,4.49,"meat,not_vegan",Frozen Food Hub,Frozen foods
18,frozen food,meat,1.45,"meat,not_vegan",Frozen Food Hub,Frozen foods
19,frozen food,Fruit And Veg,0.85,vegan,Frozen Food Hub,Frozen foods
20,frozen food,Fruit And Veg,0.59,vegan,Frozen Food Hub,Frozen foods
21,frozen food,Fruit And Veg,2.9,vegan,Frozen Food Hub,Frozen foods
22,frozen food,Fruit And Veg,0.92,vegan,Frozen Food Hub,Frozen foods
23,frozen food,Poultry,3.7,"meat,not_vegan",Frozen Food Hub,Frozen foods
24,frozen food,Poultry,4,"meat,not_vegan",Frozen Food Hub,Frozen foods
25,frozen food,Poultry,3.99,"meat,not_vegan",Frozen Food Hub,Frozen foods
26,frozen food,Burger,3.1,"gluten,high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
27,frozen food,Burger,3.8,"high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
28,frozen food,Poultry,3.4,"high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
29,frozen food,Poultry,5.5,"meat,not_vegan",Frozen Food Hub,Frozen foods
30,frozen food,Poultry,3.35,"gluten,high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
31,frozen food,Poultry,4.65,"gluten,meat,not_vegan",Frozen Food Hub,Frozen foods
32,frozen food,Poultry,5.35,"meat,not_vegan",Frozen Food Hub,Frozen foods
33,frozen food,Burger,5.15,"high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
34,frozen food,Burger,4.09,"high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
35,frozen food,Desserts,1.95,"high_sugar,vegan",Frozen Food Hub,Frozen foods
36,frozen food,Desserts,1.5,"high_sugar,vegan",Frozen Food Hub,Frozen foods
37,frozen food,Desserts,2,"high_sugar,vegan",Frozen Food Hub,Frozen foods
38,frozen food,Desserts,0.55,"dairy,not_vegan",Frozen Food Hub,Frozen foods
39,frozen food,Desserts,0.65,"dairy,not_vegan",Frozen Food Hub,Frozen foods
40,frozen food,Desserts,0.65,"dairy,not_vegan",Frozen Food Hub,Frozen foods
41,frozen food,Desserts,0.5,"sugar_free,dairy,not_vegan",Frozen Food Hub,Frozen foods
42,frozen food,Desserts,4.95,"tree_nuts,dairy,not_vegan",Frozen Food Hub,Frozen foods
43,frozen food,burger,4.25,"high_sodium,meat,not_vegan",Frozen Food Hub,Frozen foods
44,labneh,"Almarai Labneh, 500g",2.21,"dairy,not_vegan,egg",Jordan Dairy Co.,dairy & eggs
45,labneh,"Al Youm Labneh, 200g",1.25,"dairy,not_vegan,egg",Jordan Dairy Co.,dairy & eggs
46,labneh,"Teeba 9% Fat Labneh, 500g",2.25,"dairy,not_vegan,egg",Jordan Dairy Co.,dairy & eggs
47,labneh,"Teeba Labneh, 180g",1,"dairy,not_vegan,egg",Jordan Dairy Co.,dairy & eggs
48,milk,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",3.77,"dairy,not_vegan,egg",Jordan Dairy Co.,dairy & eggs
49,milk,Al Youm 3% Milk Full Fat 1 L,1.5,"dairy,not_vegan,egg",Jordan Dairy Co.,dairy & eggs
50,milk,Baladna Full Cream Milk 1 L,1.03,"dairy,not_vegan,egg",Jordan Dairy Co.,dairy & eggs
51,milk,"Hammoudeh Lactose Free Full Fat UHT Milk, 1L",1.5,"dairy,not_vegan,egg",Jordan Dairy Co.,dairy & eggs
