order_id,customer_id,order_date,order_year,order_month,week_of_year,order_channel,payment_method,gross_amount_jd,discount_jd,net_amount_jd,points_earned,points_redeemed,points_balance_after,season_event
O202600001,C0114,2026-01-01,2026,January,1,In-store,Card,14.91,0,14.91,149,0,149,Winter 2026
O202600002,C0056,2026-01-01,2026,January,1,Pickup,Wallet,15.75,0,15.75,157,0,157,Winter 2026
O202600003,C0076,2026-01-01,2026,January,1,Pickup,Card,1.68,0,1.68,16,0,16,Winter 2026
O202600004,C0024,2026-01-02,2026,January,1,Delivery,Card,1.99,0.06,1.93,19,0,19,Winter 2026
O202600005,C0022,2026-01-02,2026,January,1,Delivery,Card,7.99,0,7.99,79,0,79,Winter 2026
O202600006,C0070,2026-01-02,2026,January,1,Delivery,Card,20.98,0.63,20.35,203,0,203,Winter 2026
O202600007,C0019,2026-01-03,2026,January,1,In-store,Card,1,0.03,0.97,9,0,9,Winter 2026
O202600008,C0038,2026-01-03,2026,January,1,Pickup,Cash,2.1,0,2.1,21,0,21,Winter 2026
O202600009,C0101,2026-01-03,2026,January,1,Pickup,Wallet,5.49,0,5.49,54,0,54,Winter 2026
O202600010,C0118,2026-01-03,2026,January,1,Pickup,Card,9.69,0,9.69,96,0,96,Winter 2026
O202600011,C0117,2026-01-03,2026,January,1,Pickup,Cash,4.5,0,4.5,45,0,45,Winter 2026
O202600012,C0080,2026-01-03,2026,January,1,Pickup,Cash,5.44,0,5.44,54,0,54,Winter 2026
O202600013,C0021,2026-01-03,2026,January,1,In-store,Cash,1.02,0,1.02,10,0,10,Winter 2026
O202600014,C0085,2026-01-03,2026,January,1,Pickup,Cash,0.35,0,0.35,3,0,3,Winter 2026
O202600015,C0086,2026-01-03,2026,January,1,Delivery,Cash,1.05,0,1.05,10,0,10,Winter 2026
O202600016,C0028,2026-01-04,2026,January,2,Delivery,Card,0.75,0,0.75,7,0,7,Winter 2026
O202600017,C0007,2026-01-04,2026,January,2,In-store,Cash,1.75,0,1.75,17,0,17,Winter 2026
O202600018,C0019,2026-01-04,2026,January,2,In-store,Wallet,0.6,0,0.6,6,0,15,Winter 2026
O202600019,C0144,2026-01-04,2026,January,2,Pickup,Cash,0.49,0,0.49,4,0,4,Winter 2026
O202600020,C0103,2026-01-04,2026,January,2,In-store,Cash,1.76,0,1.76,17,0,17,Winter 2026
O202600021,C0033,2026-01-04,2026,January,2,Delivery,Card,7.09,0,7.09,70,0,70,Winter 2026
O202600022,C0017,2026-01-04,2026,January,2,Delivery,Cash,1.2,0,1.2,12,0,12,Winter 2026
O202600023,C0065,2026-01-04,2026,January,2,In-store,Cash,2.09,0,2.09,20,0,20,Winter 2026
O202600024,C0130,2026-01-04,2026,January,2,In-store,Cash,2.45,0,2.45,24,0,24,Winter 2026
O202600025,C0017,2026-01-05,2026,January,2,In-store,Cash,22.61,0,22.61,226,0,238,Winter 2026
O202600026,C0060,2026-01-05,2026,January,2,In-store,Wallet,3.39,0,3.39,33,0,33,Winter 2026
O202600027,C0115,2026-01-05,2026,January,2,In-store,Cash,3.89,0,3.89,38,0,38,Winter 2026
O202600028,C0099,2026-01-05,2026,January,2,Pickup,Card,3.26,0,3.26,32,0,32,Winter 2026
O202600029,C0012,2026-01-05,2026,January,2,In-store,Card,3.5,0,3.5,35,0,35,Winter 2026
O202600030,C0049,2026-01-05,2026,January,2,In-store,Cash,2.83,0,2.83,28,0,28,Winter 2026
O202600031,C0116,2026-01-05,2026,January,2,Pickup,Card,0.9,0,0.9,9,0,9,Winter 2026
O202600032,C0104,2026-01-05,2026,January,2,Delivery,Cash,10.67,0,10.67,106,0,106,Winter 2026
O202600033,C0036,2026-01-06,2026,January,2,In-store,Cash,2.21,0,2.21,22,0,22,Winter 2026
O202600034,C0038,2026-01-06,2026,January,2,Pickup,Card,3.5,0,3.5,35,0,56,Winter 2026
O202600035,C0089,2026-01-06,2026,January,2,Pickup,Cash,12.57,0,12.57,125,0,125,Winter 2026
O202600036,C0109,2026-01-06,2026,January,2,In-store,Cash,10.95,0,10.95,109,0,109,Winter 2026
O202600037,C0109,2026-01-06,2026,January,2,Pickup,Card,0.85,0.03,0.82,8,0,117,Winter 2026
O202600038,C0139,2026-01-06,2026,January,2,Delivery,Card,1.13,0,1.13,11,0,11,Winter 2026
O202600039,C0017,2026-01-06,2026,January,2,In-store,Wallet,1.62,0.05,1.57,15,0,253,Winter 2026
O202600040,C0133,2026-01-06,2026,January,2,Pickup,Wallet,4.5,0,4.5,45,0,45,Winter 2026
O202600041,C0124,2026-01-06,2026,January,2,Delivery,Card,2.85,0,2.85,28,0,28,Winter 2026
O202600042,C0138,2026-01-06,2026,January,2,Pickup,Wallet,8.23,0,8.23,82,0,82,Winter 2026
O202600043,C0095,2026-01-07,2026,January,2,Pickup,Cash,2,0.06,1.94,19,0,19,Winter 2026
O202600044,C0053,2026-01-07,2026,January,2,Delivery,Card,4.19,0,4.19,41,0,41,Winter 2026
O202600045,C0018,2026-01-07,2026,January,2,Delivery,Card,3.77,0,3.77,37,0,37,Winter 2026
O202600046,C0140,2026-01-07,2026,January,2,Delivery,Card,3.36,0,3.36,33,0,33,Winter 2026
O202600047,C0047,2026-01-07,2026,January,2,Pickup,Cash,1,0.03,0.97,9,0,9,Winter 2026
O202600048,C0041,2026-01-07,2026,January,2,In-store,Wallet,4.15,0,4.15,41,0,41,Winter 2026
O202600049,C0148,2026-01-07,2026,January,2,Delivery,Card,3.36,0,3.36,33,0,33,Winter 2026
O202600050,C0080,2026-01-08,2026,January,2,In-store,Wallet,2.33,0,2.33,23,0,77,Winter 2026
O202600051,C0117,2026-01-08,2026,January,2,Pickup,Cash,2.09,0,2.09,20,0,65,Winter 2026
O202600052,C0085,2026-01-08,2026,January,2,Pickup,Wallet,4.18,0,4.18,41,0,44,Winter 2026
O202600053,C0067,2026-01-08,2026,January,2,In-store,Card,1.99,0,1.99,19,0,19,Winter 2026
O202600054,C0085,2026-01-08,2026,January,2,Delivery,Card,2.09,0,2.09,20,0,64,Winter 2026
O202600055,C0080,2026-01-08,2026,January,2,Delivery,Card,1.65,0,1.65,16,0,93,Winter 2026
O202600056,C0133,2026-01-08,2026,January,2,Delivery,Cash,4.35,0,4.35,43,0,88,Winter 2026
O202600057,C0032,2026-01-09,2026,January,2,Delivery,Cash,2.8,0,2.8,28,0,28,Winter 2026
O202600058,C0038,2026-01-09,2026,January,2,Delivery,Wallet,1.13,0,1.13,11,0,67,Winter 2026
O202600059,C0086,2026-01-09,2026,January,2,Delivery,Card,1.8,0,1.8,18,0,28,Winter 2026
O202600060,C0060,2026-01-10,2026,January,2,Pickup,Card,5.4,0,5.4,54,0,87,Winter 2026
O202600061,C0119,2026-01-10,2026,January,2,Delivery,Cash,16.39,0,16.39,163,0,163,Winter 2026
O202600062,C0121,2026-01-10,2026,January,2,Pickup,Card,9.59,0,9.59,95,0,95,Winter 2026
O202600063,C0139,2026-01-10,2026,January,2,Delivery,Card,0.95,0,0.95,9,0,20,Winter 2026
O202600064,C0121,2026-01-10,2026,January,2,In-store,Card,5.47,0.16,5.31,53,0,148,Winter 2026
O202600065,C0052,2026-01-10,2026,January,2,Pickup,Cash,3.1,0,3.1,31,0,31,Winter 2026
O202600066,C0128,2026-01-10,2026,January,2,In-store,Wallet,0.49,0,0.49,4,0,4,Winter 2026
O202600067,C0071,2026-01-10,2026,January,2,In-store,Cash,10.82,0,10.82,108,0,108,Winter 2026
O202600068,C0009,2026-01-10,2026,January,2,Pickup,Card,7,0,7,70,0,70,Winter 2026
O202600069,C0133,2026-01-10,2026,January,2,In-store,Cash,1.13,0,1.13,11,0,99,Winter 2026
O202600070,C0119,2026-01-10,2026,January,2,Pickup,Card,2.68,0,2.68,26,0,189,Winter 2026
O202600071,C0145,2026-01-11,2026,January,3,Delivery,Cash,2.09,0,2.09,20,0,20,Winter 2026
O202600072,C0096,2026-01-11,2026,January,3,Delivery,Cash,24.65,0,24.65,246,0,246,Winter 2026
O202600073,C0132,2026-01-11,2026,January,3,In-store,Wallet,3.77,0,3.77,37,0,37,Winter 2026
O202600074,C0069,2026-01-11,2026,January,3,Delivery,Card,1.54,0,1.54,15,0,15,Winter 2026
O202600075,C0112,2026-01-11,2026,January,3,Delivery,Cash,1.35,0,1.35,13,0,13,Winter 2026
O202600076,C0146,2026-01-11,2026,January,3,Pickup,Card,1,0,1,10,0,10,Winter 2026
O202600077,C0007,2026-01-11,2026,January,3,Delivery,Wallet,0.75,0,0.75,7,0,24,Winter 2026
O202600078,C0073,2026-01-11,2026,January,3,Pickup,Cash,2.75,0.08,2.67,26,0,26,Winter 2026
O202600079,C0135,2026-01-11,2026,January,3,Delivery,Card,1.61,0,1.61,16,0,16,Winter 2026
O202600080,C0009,2026-01-11,2026,January,3,Delivery,Cash,2.75,0,2.75,27,0,97,Winter 2026
O202600081,C0100,2026-01-11,2026,January,3,Pickup,Cash,7.3,0,7.3,73,0,73,Winter 2026
O202600082,C0116,2026-01-11,2026,January,3,Delivery,Cash,3.77,0,3.77,37,0,46,Winter 2026
O202600083,C0112,2026-01-11,2026,January,3,Pickup,Card,1.85,0,1.85,18,0,31,Winter 2026
O202600084,C0020,2026-01-11,2026,January,3,Pickup,Wallet,5.45,0,5.45,54,0,54,Winter 2026
O202600085,C0048,2026-01-12,2026,January,3,Delivery,Card,18.06,0,18.06,180,0,180,Winter 2026
O202600086,C0131,2026-01-12,2026,January,3,Pickup,Card,2.05,0,2.05,20,0,20,Winter 2026
O202600087,C0133,2026-01-12,2026,January,3,Delivery,Cash,11.74,0.35,11.39,113,0,212,Winter 2026
O202600088,C0106,2026-01-12,2026,January,3,Delivery,Cash,6.27,0,6.27,62,0,62,Winter 2026
O202600089,C0102,2026-01-12,2026,January,3,In-store,Cash,2.09,0,2.09,20,0,20,Winter 2026
O202600090,C0137,2026-01-12,2026,January,3,In-store,Wallet,4.63,0,4.63,46,0,46,Winter 2026
O202600091,C0125,2026-01-12,2026,January,3,In-store,Wallet,1.6,0,1.6,16,0,16,Winter 2026
O202600092,C0006,2026-01-12,2026,January,3,Delivery,Cash,1.9,0.06,1.84,18,0,18,Winter 2026
O202600093,C0089,2026-01-13,2026,January,3,Pickup,Cash,3.44,0,3.44,34,0,159,Winter 2026
O202600094,C0016,2026-01-13,2026,January,3,Delivery,Wallet,1.4,0.04,1.36,13,0,13,Winter 2026
O202600095,C0070,2026-01-13,2026,January,3,Delivery,Wallet,1.31,0,1.31,13,0,216,Winter 2026
O202600096,C0029,2026-01-13,2026,January,3,Pickup,Cash,4.97,0,4.97,49,0,49,Winter 2026
